benchmark,implementation,environment,mean,std,min,max,repetitions
pagerank,matlab-mixed,matlab-vm-2015b-jit,1.1468,12.39%,1.0773,1.4009,5
pagerank,matlab-mixed,octave-4.2.1,4.0148,0.16%,4.0044,4.0214,5
spmv,matlab,matlab-vm-2013a-jit,0.322,0.71%,0.3195,0.3246,5
spmv,matlab,matlab-vm-2013a-no-jit,15.5303,0.56%,15.4322,15.6684,5
spmv,matlab,matlab-vm-2015b-jit,0.2147,0.21%,0.2141,0.2153,5
spmv,matlab,octave-4.2.1,125.9228,0.18%,125.7419,126.269,5
spmv,matlab-mixed,matlab-vm-2013a-jit,9.5783,1.95%,9.3901,9.8697,5
spmv,matlab-mixed,matlab-vm-2013a-no-jit,25.8534,2.55%,24.8745,26.4741,5
spmv,matlab-mixed,matlab-vm-2015b-jit,10.5767,1.51%,10.428,10.7698,5
spmv,matlab-mixed,octave-4.2.1,180.2466,0.48%,178.8822,181.0002,5
