### Invariants (configuration parameters that are the same for all runs) ###

| category   | short-name  |
| ---------- | ----------- |
| compiler   | none-matlab |
| platform   | cri         |
| input-size | medium      |

### Results ###

| benchmark    | implementation | environment            | mean       | std      | min        | max        | repetitions |
| fft          | matlab         | matlab-vm-2013a-no-jit | 10.4305s   | +-5.04%  | 10.0973s   | 11.3114s   | 5           |
| pagerank     | matlab-mixed   | matlab-vm-2013a-jit    | 1.3077s    | +-2.21%  | 1.2636s    | 1.3437s    | 5           |
| fft          | matlab         | matlab-vm-2013a-jit    | 2.7033s    | +-0.80%  | 2.6752s    | 2.7351s    | 5           |
| fft          | matlab         | matlab-vm-2015b-jit    | 0.9253s    | +-2.53%  | 0.9021s    | 0.9615s    | 5           |
| pagerank     | matlab         | octave-4.2.1           | 520.6052s  | +-0.07%  | 520.1737s  | 521.0489s  | 5           |
| fft          | matlab-mixed   | matlab-vm-2013a-no-jit | 9.5660s    | +-2.08%  | 9.2952s    | 9.7492s    | 5           |
| fft          | matlab-mixed   | matlab-vm-2013a-jit    | 5.1055s    | +-1.32%  | 5.0274s    | 5.2045s    | 5           |
| fft          | matlab-mixed   | matlab-vm-2015b-jit    | 1.4517s    | +-1.37%  | 1.4327s    | 1.4820s    | 5           |
| fft          | matlab-mixed   | octave-4.2.1           | 70.8604s   | +-0.31%  | 70.6856s   | 71.2377s   | 5           |
| spmv         | matlab         | matlab-vm-2013a-no-jit | 15.5303s   | +-0.56%  | 15.4322s   | 15.6684s   | 5           |
| spmv         | matlab         | matlab-vm-2013a-jit    | 0.3220s    | +-0.71%  | 0.3195s    | 0.3246s    | 5           |
| spmv         | matlab         | matlab-vm-2015b-jit    | 0.2147s    | +-0.21%  | 0.2141s    | 0.2153s    | 5           |
| spmv         | matlab-mixed   | matlab-vm-2013a-no-jit | 25.8534s   | +-2.55%  | 24.8745s   | 26.4741s   | 5           |
| spmv         | matlab-mixed   | octave-4.2.1           | 180.2466s  | +-0.48%  | 178.8822s  | 181.0002s  | 5           |
| spmv         | matlab         | octave-4.2.1           | 125.9228s  | +-0.18%  | 125.7419s  | 126.2690s  | 5           |
| spmv         | matlab-mixed   | matlab-vm-2015b-jit    | 10.5767s   | +-1.51%  | 10.4280s   | 10.7698s   | 5           |
| spmv         | matlab-mixed   | matlab-vm-2013a-jit    | 9.5783s    | +-1.95%  | 9.3901s    | 9.8697s    | 5           |
| blackscholes | matlab         | octave-4.2.1           | 92.3366s   | +-0.85%  | 91.5440s   | 93.4710s   | 5           |
| blackscholes | matlab         | matlab-vm-2013a-no-jit | 26.1669s   | +-2.39%  | 25.6046s   | 27.0633s   | 5           |
| blackscholes | matlab         | matlab-vm-2013a-jit    | 3.7506s    | +-2.31%  | 3.6742s    | 3.8943s    | 5           |
| blackscholes | matlab         | matlab-vm-2015b-jit    | 0.9574s    | +-4.79%  | 0.9219s    | 1.0370s    | 5           |
| blackscholes | matlab-mixed   | octave-4.2.1           | 0.2648s    | +-0.23%  | 0.2641s    | 0.2657s    | 5           |
| blackscholes | matlab-mixed   | matlab-vm-2013a-no-jit | 0.1902s    | +-0.18%  | 0.1899s    | 0.1907s    | 5           |
| blackscholes | matlab-mixed   | matlab-vm-2013a-jit    | 0.1705s    | +-0.28%  | 0.1701s    | 0.1713s    | 5           |
| blackscholes | matlab-mixed   | matlab-vm-2015b-jit    | 0.1150s    | +-3.43%  | 0.1128s    | 0.1220s    | 5           |

