1,0,5e-06,5e-06
65,1e-06,7e-06,6e-06
129,3e-06,8e-06,7e-06
193,4e-06,9e-06,8e-06
257,6e-06,1e-05,8e-06
321,7e-06,1.1e-05,9e-06
385,9e-06,1.2e-05,1e-05
449,1e-05,1.3e-05,1e-05
513,1.2e-05,1.4e-05,1.1e-05
577,1.4e-05,1.5e-05,1.1e-05
641,1.5e-05,1.6e-05,1.2e-05
705,1.7e-05,1.7e-05,1.2e-05
769,1.8e-05,1.8e-05,1.3e-05
833,2e-05,1.9e-05,1.4e-05
897,2.1e-05,2e-05,1.4e-05
961,2.3e-05,2.1e-05,1.5e-05
1025,2.4e-05,2.2e-05,1.6e-05
1089,2.6e-05,2.3e-05,1.6e-05
1153,2.7e-05,2.4e-05,1.7e-05
1217,2.9e-05,2.5e-05,1.7e-05
1281,3e-05,2.6e-05,1.8e-05
1345,3.2e-05,2.7e-05,1.9e-05
1409,3.4e-05,2.8e-05,1.9e-05
1473,3.5e-05,2.9e-05,2e-05
1537,3.7e-05,3e-05,2.1e-05
1601,3.8e-05,3.1e-05,2.1e-05
1665,4e-05,3.2e-05,2.2e-05
1729,4.1e-05,3.3e-05,2.2e-05
1793,4.3e-05,3.4e-05,2.3e-05
1857,4.4e-05,3.5e-05,2.4e-05
1921,4.6e-05,3.6e-05,2.4e-05
1985,4.8e-05,3.7e-05,2.5e-05
2049,4.9e-05,3.8e-05,2.6e-05
2113,5.1e-05,3.9e-05,2.6e-05
2177,5.2e-05,4e-05,2.7e-05
2241,5.4e-05,4.1e-05,2.7e-05
2305,5.5e-05,4.2e-05,2.8e-05
2369,5.7e-05,4.3e-05,2.9e-05
2433,5.9e-05,4.4e-05,2.9e-05
2497,6e-05,4.4e-05,3e-05
2561,6.2e-05,4.6e-05,3.1e-05
2625,6.3e-05,4.7e-05,3.1e-05
2689,6.5e-05,4.8e-05,3.2e-05
2753,6.7e-05,4.8e-05,3.2e-05
2817,6.8e-05,5e-05,3.3e-05
2881,7e-05,5.1e-05,3.3e-05
2945,7.2e-05,5.2e-05,3.4e-05
3009,7.3e-05,5.3e-05,3.5e-05
3073,7.5e-05,5.4e-05,3.6e-05
3137,7.7e-05,5.4e-05,3.6e-05
3201,7.8e-05,5.6e-05,3.7e-05
3265,8e-05,5.7e-05,3.7e-05
3329,8.1e-05,5.8e-05,3.8e-05
3393,8.3e-05,5.8e-05,3.9e-05
3457,8.5e-05,5.9e-05,3.9e-05
3521,8.6e-05,6e-05,4e-05
3585,8.8e-05,6.2e-05,4.1e-05
3649,9e-05,6.3e-05,4.1e-05
3713,9.1e-05,6.4e-05,4.2e-05
3777,9.3e-05,6.5e-05,4.2e-05
3841,9.5e-05,6.6e-05,4.3e-05
3905,9.6e-05,6.6e-05,4.3e-05
3969,9.8e-05,6.7e-05,4.4e-05
4033,0.0001,6.8e-05,4.5e-05
4097,0.000101,7e-05,4.6e-05
4161,0.000103,7.1e-05,4.6e-05
4225,0.000105,7.1e-05,4.6e-05
4289,0.000106,7.3e-05,4.7e-05
4353,0.000108,7.4e-05,4.8e-05
4417,0.00011,7.4e-05,4.8e-05
4481,0.000111,7.6e-05,4.9e-05
4545,0.000113,7.6e-05,5e-05
4609,0.000115,7.8e-05,5.1e-05
4673,0.000116,7.8e-05,5.1e-05
4737,0.000118,7.9e-05,5.2e-05
4801,0.00012,8e-05,5.2e-05
4865,0.000121,8.2e-05,5.3e-05
4929,0.000123,8.2e-05,5.3e-05
4993,0.000125,8.3e-05,5.4e-05
5057,0.000126,8.4e-05,5.5e-05
5121,0.000128,8.6e-05,5.6e-05
5185,0.00013,8.6e-05,5.6e-05
5249,0.000132,8.7e-05,5.7e-05
5313,0.000133,8.8e-05,5.7e-05
5377,0.000135,8.9e-05,5.8e-05
5441,0.000137,9e-05,5.8e-05
5505,0.000138,9.1e-05,5.9e-05
5569,0.00014,9.2e-05,6e-05
5633,0.000142,9.5e-05,6.1e-05
5697,0.000143,9.4e-05,6.1e-05
5761,0.000145,9.6e-05,6.2e-05
5825,0.000147,9.6e-05,6.2e-05
5889,0.000149,9.8e-05,6.3e-05
5953,0.00015,9.9e-05,6.4e-05
6017,0.000152,0.0001,6.4e-05
6081,0.000154,0.000101,6.5e-05
6145,0.000155,0.000103,6.6e-05
6209,0.000157,0.000103,6.6e-05
6273,0.000159,0.000104,6.7e-05
6337,0.00016,0.000105,6.8e-05
6401,0.000162,0.000106,6.8e-05
6465,0.000164,0.000107,6.9e-05
6529,0.000166,0.000107,6.9e-05
6593,0.000167,0.000109,7e-05
6657,0.000169,0.000111,7.1e-05
6721,0.000171,0.000111,7.1e-05
6785,0.000172,0.000112,7.2e-05
6849,0.000174,0.000113,7.3e-05
6913,0.000176,0.000114,7.3e-05
6977,0.000178,0.000115,7.4e-05
7041,0.000179,0.000116,7.5e-05
7105,0.000181,0.000117,7.5e-05
7169,0.000183,0.000119,7.7e-05
7233,0.000184,0.000119,7.7e-05
7297,0.000186,0.00012,7.7e-05
7361,0.000188,0.000121,7.8e-05
7425,0.000189,0.000122,7.9e-05
7489,0.000191,0.000123,7.9e-05
7553,0.000193,0.000124,8e-05
7617,0.000195,0.000125,8.1e-05
7681,0.000196,0.000127,8.2e-05
7745,0.000198,0.000127,8.2e-05
7809,0.0002,0.000128,8.2e-05
7873,0.000201,0.000129,8.3e-05
7937,0.000203,0.00013,8.4e-05
8001,0.000205,0.000131,8.4e-05
8065,0.000206,0.000132,8.4e-05
8129,0.000208,0.000133,8.6e-05
